epoch,accuracy,loss,val_accuracy,val_loss
0,0.3689236,1.804299337996377,0.4609375,1.4139318764209747
1,0.5737847,1.2719232580728002,0.6171875,1.18703044205904
2,0.6753472,1.0165871050622728,0.6328125,1.0190662890672684
3,0.7456597,0.8035872665544351,0.703125,0.918682374060154
4,0.796875,0.7014912358588643,0.71875,0.8501841574907303
5,0.8342014,0.6119720720582538,0.78125,0.7964452430605888
6,0.8428819,0.5625679124560621,0.7421875,0.8450634926557541
7,0.8637153,0.5153683585425218,0.7734375,0.7636280432343483
8,0.8828125,0.4513586333228482,0.7578125,0.8743678461760283
9,0.8880208,0.40376661490235066,0.78125,0.7593877017498016
10,0.9036458,0.3759778392397695,0.796875,0.7655154429376125
11,0.9270833,0.33524547331035137,0.796875,0.6967056505382061
12,0.9314236,0.29877055808901787,0.8046875,0.7436828948557377
13,0.9383681,0.2952587563130591,0.78125,0.6748716160655022
14,0.9548611,0.2516648637958699,0.828125,0.5605594106018543
15,0.9557292,0.2415651042635242,0.7890625,0.7533633075654507
16,0.9487847,0.2455815023018254,0.8359375,0.6560046747326851
17,0.953125,0.2526739835739136,0.8046875,0.7260556854307652
18,0.9409722,0.26140426171736586,0.765625,0.7855799235403538
19,0.9522569,0.24331006231821245,0.8359375,0.6829110309481621
20,0.9401042,0.24240346418486702,0.7734375,0.7988796140998602
21,0.9392361,0.28501703517718446,0.765625,0.795535858720541
22,0.9609375,0.2130751816762818,0.8125,0.7018409296870232
23,0.9756944,0.1722251841177543,0.8203125,0.6297073047608137
24,0.9704861,0.17822685185819864,0.8515625,0.6993822231888771
25,0.9739583,0.16416592078490388,0.828125,0.6342823021113873
26,0.9730903,0.16091012220001882,0.828125,0.655619565397501
27,0.9852431,0.1438199422425694,0.8125,0.6432051323354244
28,0.96875,0.17658729664981365,0.828125,0.6050678249448538
29,0.9644097,0.17875851628681025,0.828125,0.6343342661857605
